point,real_x,real_y,real_z,image_name,marker_id,x,y,z,ransac_threshold,filter_type,is_global_position,marker_count,total_images_processed,successful_images,ransac_population,is_ransac_excluded
p03,0.19,4.2,1.5,1761793517784.matphoto,33,0.1669140746631869,4.29054616369924,1.5025959647411538,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793517784.matphoto,0,0.1721949012640622,4.260799301789883,1.4939779397925204,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793517784.matphoto,25,0.1997748122206399,4.268895194241518,1.5071787010041144,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793517784.matphoto,39,0.1340666594762489,4.271462687014807,1.518721262461847,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793517784.matphoto,16,0.1562430673041193,4.2450345489852825,1.5344018143217526,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793517784.matphoto,17,0.2283560994242532,4.232668989859031,1.52926893425361,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793522811.matphoto,33,0.1554178449573471,4.278934771926178,1.498641498701984,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793522811.matphoto,0,0.1516022249931572,4.261780578646876,1.4905764983091068,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793522811.matphoto,25,0.1860654053587591,4.270410424339409,1.5094560274594284,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793522811.matphoto,39,0.1402089882497281,4.269631056320875,1.5143565181601928,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793522811.matphoto,16,0.090374770088301,4.19546473816028,1.5752183651162746,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793522811.matphoto,36,0.156349143675609,4.448894773040763,1.4649045795050089,,,False,1,,6,,True
p03,0.19,4.2,1.5,1761793522811.matphoto,17,0.1895895848441857,4.247330543382743,1.524319320381088,,,False,1,,6,,False
p04,0.91,5.6,1.5,,-1,0.8545297644560047,5.599226597101144,1.5071604564590908,0.2,WEIGHTED_MEDIAN,True,20,6.0,6,14.0,
p04,0.91,5.6,1.5,1761873060916.matphoto,30,1.3382131125890089,5.476996988945085,1.5685513229265915,,,False,1,,6,,True
p04,0.91,5.6,1.5,1761873060916.matphoto,2,0.6826814936877987,5.462623371293548,0.307630870797449,,,False,1,,6,,True
p04,0.91,5.6,1.5,1761873060916.matphoto,21,0.5259140232266497,5.436791086436296,1.943277291976436,,,False,1,,6,,True
p04,0.91,5.6,1.5,1761873065944.matphoto,33,1.0282974512990477,5.666159339716653,1.5037884267735433,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873065944.matphoto,0,1.02836350392993,5.660734093557515,1.5071604564590908,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873065944.matphoto,25,1.0321903062343696,5.655125514273469,1.4781427367951143,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873070973.matphoto,30,1.1638303560161296,5.469580265188244,1.2212498019471631,,,False,1,,6,,True
p04,0.91,5.6,1.5,1761873070973.matphoto,2,0.3360576807406382,5.532277672999404,1.3889332435816582,,,False,1,,6,,True
p04,0.91,5.6,1.5,1761873070973.matphoto,21,-0.1490175821183307,5.409450530393794,1.3469351849112958,,,False,1,,6,,True
p04,0.91,5.6,1.5,1761873253061.matphoto,34,0.8403235744285631,5.599226597101144,1.5103746615325009,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873253061.matphoto,14,0.8317899906150832,5.599159292564044,1.5173159226534896,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873253061.matphoto,28,0.8325416192435289,5.616016609436698,1.4958314207722048,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873253061.matphoto,12,0.8497261268199207,5.5868449596776495,1.5312636209871275,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873253061.matphoto,26,0.8199962693523142,5.623309362222303,1.436782734116553,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873258061.matphoto,39,0.8441347823090581,5.64593676670532,1.4865804978866404,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873258061.matphoto,16,0.8814898058240175,5.625414533516273,1.4875469306924185,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873258061.matphoto,17,0.9145009971506703,5.642580355575873,1.5370192050299003,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873263063.matphoto,34,0.8545297644560047,5.570331651551723,1.5129316676186535,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873263063.matphoto,14,0.8507005517112924,5.5693301744443575,1.5174532792191917,,,False,1,,6,,False
p04,0.91,5.6,1.5,1761873263063.matphoto,28,0.848135295336832,5.588818823246385,1.4989114594637911,,,False,1,,6,,False
p05,1.28,7.0,1.5,,-1,1.2636902022835752,6.959591922268688,1.4967378411825147,0.2,WEIGHTED_MEDIAN,True,30,6.0,6,25.0,
p05,1.28,7.0,1.5,1761873721344.matphoto,33,1.385489080121295,6.948541528001354,1.4974187031015602,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761873721344.matphoto,0,1.3712209431884226,6.942956464826082,1.5009919173363668,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761873721344.matphoto,25,1.387139893558833,6.920742355261253,1.4760563685946413,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761873721344.matphoto,30,1.3534553217586702,6.923551633254139,1.7394819460794069,,,False,1,,6,,True
p05,1.28,7.0,1.5,1761873721344.matphoto,2,1.71320733148475,6.87976498568219,1.7550017713936636,,,False,1,,6,,True
p05,1.28,7.0,1.5,1761873721344.matphoto,21,0.5287125357199512,6.914114254181106,2.0352705644175964,,,False,1,,6,,True
p05,1.28,7.0,1.5,1761873726346.matphoto,33,1.378745283660833,6.986316678192274,1.4967378411825147,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761873726346.matphoto,0,1.3746869704723812,6.989447191032424,1.5013909218412966,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761873726346.matphoto,30,1.2191563548266626,6.988496242787317,1.441734489510555,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761873726346.matphoto,25,1.3949444557190338,6.959591922268688,1.4767571068475729,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761873726346.matphoto,2,0.4304688097171317,7.020928203123074,0.8821145055623928,,,False,1,,6,,True
p05,1.28,7.0,1.5,1761873726346.matphoto,21,1.451875830263385,6.903433341459848,1.1241150752134172,,,False,1,,6,,True
p05,1.28,7.0,1.5,1761873731372.matphoto,33,1.3721993195220974,7.027710404636023,1.497263537922756,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761873731372.matphoto,0,1.3582874476901547,7.027144020855127,1.4959364429635782,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761873731372.matphoto,25,1.3788629304097688,7.001073124811302,1.4759132082776307,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874238076.matphoto,35,1.1673380257441752,7.052314213182285,1.512846775168072,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874238076.matphoto,39,1.187501086546604,7.038978987205529,1.4802830888657357,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874238076.matphoto,12,1.20447030089031,7.057920755232146,1.5057225044353482,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874238076.matphoto,16,1.2279921434493848,7.023393092708398,1.4907925535019817,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874238076.matphoto,26,1.1627611091504633,7.093093621642799,1.459795029054456,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874238076.matphoto,17,1.2102326573815056,7.053900541145769,1.4973874074479594,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874243107.matphoto,35,1.1775430416024273,7.037832458285189,1.5116004009005444,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874243107.matphoto,39,1.1834882076156985,7.003611529002871,1.492676802722449,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874243107.matphoto,16,1.2141227621245712,6.989538664707947,1.490833163779028,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874243107.matphoto,12,1.190894485186632,7.021942757509869,1.5019370186532486,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874243107.matphoto,17,1.218908858779019,7.0303133255457775,1.497758049830774,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874243107.matphoto,26,1.1771097642712636,7.05951949848974,1.4685553342880495,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874248135.matphoto,34,1.2579983231915968,6.904435514618125,1.4852844245591514,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874248135.matphoto,14,1.2636902022835752,6.909082025383388,1.524607179154083,,,False,1,,6,,False
p05,1.28,7.0,1.5,1761874248135.matphoto,28,1.227580243617325,6.9413402543869775,1.478115321175486,,,False,1,,6,,False
p06,1.58,8.4,1.5,,-1,1.5029357408022015,8.41046235482653,1.4980796908090048,0.2,WEIGHTED_MEDIAN,True,30,6.0,6,20.0,
p06,1.58,8.4,1.5,1761874501646.matphoto,30,1.1512997576162405,8.374158987820415,1.987351480144373,,,False,1,,6,,True
p06,1.58,8.4,1.5,1761874501646.matphoto,2,1.539510632774692,8.313054775848448,2.345007500327092,,,False,1,,6,,True
p06,1.58,8.4,1.5,1761874501646.matphoto,21,1.5935105776922505,8.397723261515658,0.8114646045824279,,,False,1,,6,,True
p06,1.58,8.4,1.5,1761874506677.matphoto,34,1.620087960113234,8.340654988635864,1.483558794968724,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874506677.matphoto,14,1.6456346606736172,8.344497956161273,1.4941743548711626,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874506677.matphoto,28,1.5976492238305209,8.325144325517318,1.4936968121541945,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874506677.matphoto,30,0.3523781213502829,8.305247648996218,2.1102534209515165,,,False,1,,6,,True
p06,1.58,8.4,1.5,1761874506677.matphoto,2,-0.4439791316148367,8.250966079915777,1.0433189534222174,,,False,1,,6,,True
p06,1.58,8.4,1.5,1761874506677.matphoto,21,1.4632517614761371,8.267512039899259,0.1750630771814736,,,False,1,,6,,True
p06,1.58,8.4,1.5,1761874511705.matphoto,34,1.615411212477547,8.32237360242776,1.4822001525612227,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874511705.matphoto,14,1.6304230157669883,8.317767846637722,1.485852542330025,,,False,1,,6,,False
p06,1.58,8.4,1.5,1761874511705.matphoto,28,1.5829230071654374,8.29631221608665,1.4978257039477012,,,False,1,,6,,False
